"sampling_location","duplicate_sample","sample_date","sample_time","weather_condition_dry_or_wet","top_sample_temperature_c","bottom_sample_temperature_c","site_actual_depth_ft","top_sample_depth_ft","bottom_sample_depth_ft","top_salinity_psu","bottom_salinity_psu","top_conductivity_s_m","bottom_conductivity_s_m","ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l","ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l","percentage_o2_saturation_top_sample","percentage_o2_saturation_bottom_sample","light_trans_transparency_top_sample","light_trans_transparency_bottom_sample","top_sigma_t_kg_m3","bottom_sigma_t_kg_m3","top_fluorometer_mg_m3","bottom_fluorometer_mg_m3","ctd_conductivity_temperature_depth_profiler_ph_top_sample","ctd_conductivity_temperature_depth_profiler_ph_bottom_sample","top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s","top_sample_par_ue_s_m2","bottom_sample_par_ue_s_ue_s_m2","oxidation_reduction_potential_mv_top_sample","oxidation_reduction_potential_mv_bottom_sample","current_speed_knot","current_direction_current_direction","wind_speed_mph","wind_direction_wind_direction","sea_state","winkler_method_top_dissolved_oxygen_mg_l","winkler_method_bottom_dissolved_oxygen_mg_l","secchi_depth_ft","top_ph","bottom_ph","top_total_coliform_cells_100_ml","top_bottom_coliform_cells_100_ml","fecal_coliform_top_sample_less_than_or_greater_than_result","fecal_coliform_bottom_sample_less_than_or_greater_than_result","top_fecal_coliform_bacteria_cells_100ml","bottom_fecal_coliform_bacteria_cells_100ml","enterococcus_top_sample_less_than_or_greater_than_result","enterococcus_bottom_sample_less_than_or_greater_than_result","top_enterococci_bacteria_cells_100ml","bottom_enterococci_bacteria_cells_100ml","top_nitrate_nitrite_mg_l","bottom_nitrate_nitrite_mg_l","top_ammonium_mg_l","bottom_ammonium_mg_l","top_ortho_phosphorus_mg_l","bottom_ortho_phosphorus_mg_l","top_total_kjeldhal_nitrogen_mg_l","bottom_total_kjeldhal_nitrogen_mg_l","top_silica_mg_l","bottom_silica_mg_l","total_phosphorus_mg_l","bottom_total_phosphorus_mg_l","top_total_suspended_solid_mg_l","bottom_total_suspended_solid_mg_l","top_active_chlorophyll_a_g_l","bottom_active_chlorophyll_a_g_l","chlorophyll_top_sample_field_u_l_ysi","chlorophyll_bottom_sample_field_u_l_ysi","top_total_organic_carbon_mg_l","top_dissolved_organic_carbon_mg_l","bottom_dissolved_organic_carbon_mg_l","top_dissolved_organic_carbon_ysi_mg_l","bottom_dissolved_organic_carbon_ysi_mg_l","top_sample_depth_ysi_ft","bottom_depth_ysi_ft","top_sample_salinity_ysi_psu","bottom_sample_salinity_ysi_psu","top_sample_temperature_ysi_c","bottom_sample_temperature_ysi_c","top_bacteria_per_c_c_1909","bottom_bacteria_per_c_c_1909","top_beam_attenuation_coefficient","bottom_beam_attenuation_coefficient","top_five_day_biochemical_oxygen_demand_mg_l","bottom_five_day_biochemical_oxygen_demand_mg_l","top_pcb_plate_count_thous_ml","bottom_pcb_plate_count_thous_ml","top_coliform_log_no_ml","bottom_coliform_log_no_ml","oakwood_bod_top_sample_mg_l","oakwood_bod_bottom_sample_mg_l","oakwood_total_suspended_solid_top_sample_mg_l","oakwood_total_suspended_solid_bottom_sample_mg_l","top_turbidity_nephelometric_turbidity_units","bottom_turbidity_ysi_nephelometric_turbidity_units","sampling_comment","long","lat","type"
"BB2",,"2006-08-09T00:00:00.000","1:53 PM","D","26.47","26.36","11","5","11","24.46","25.97","3.96","4.17","1.76","0.03","25.2","0.5",,,"14.96","16.13",,,,,,,,"-1.20E+02","-1.47E+02","0.4","NE","5","SW","1","1.52","1.56","2.5","7.37","7.35",,,,,"740","740",,,"10","17","0.187","0.26","1.248","1.298","0.27","0.313","5","5.12","1.3","1.59","0.437","0.502","10.5","10","37.28",,,,,"4.93",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.66017","-73.82217","Permanent"
"BB2",,"2006-09-12T00:00:00.000","1:10 PM","D","21.88","21.43","16","5","15","25.67","26.27","3.78","3.82","5.37","4.54","71.3","60",,,"17.18","17.75",,,,,,,,"7.25E+01","7.91E+01","0","SW","7","E","1","5.62","5.8","3","7.55","7.51",,,,,"88","124",,,"8","7","0.447","0.497","1.24","1.32","0.19","0.203","1.76","5.95","2.16","2.22","0.28","0.29","9.25","10.25","14.6",,,,,"3.58",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.66033","-73.82183","Permanent"
"BB4",,"2006-08-09T00:00:00.000","2:02 PM","D","27.37","25.76","17","3","15","24.38","26.32","4.02","4.17","6.68","1.53","96.9","21.9",,,"14.63","16.57",,,,,,,,"-3.63E+00","3.03E+00","0.8","N","15","SSW","1","5.91","6.35","2.5","7.74","7.58",,,,,"108","78",,,"1","2","0.204","0.132","0.738","0.697","0.201","0.204","4.24","4.86","0.87","0.94","0.362","0.342","9","6","48.51",,,,,"4.46",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.65183","-73.82317","Permanent"
"BB4",,"2006-09-12T00:00:00.000","1:17 PM","D","21.51","20.96","23","6","21","25.86","26.7","3.77","3.84","6.47","5.23","85.4","68.6",,,"17.42","18.2",,,,,,,,"8.56E+01","9.03E+01","1.2","S","3","E","1","6.02","6.08","5","7.59","7.58",,,,,"56","102",,,"4","3","0.453","0.441","1.2","1.14","0.18","0.177","3.54","3.35","2.11","2.08","0.26","0.25","5.25","6.75","16.28",,,,,"3.64",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.65133","-73.823","Permanent"
"E10",,"2006-10-23T00:00:00.000","10:46 AM","D","16.01","16.14","98","4","94","25.9","26.19","3.35","3.4","6.82","6.68","81","79.7",,,"18.76","18.96",,,,,,,,"1.44E+02","1.33E+02","1","SE","16","W","1","7.39","7.02","6.5","7.3","7.35",,,,,"1",,,,"1",,"0.204",,"0.234",,,,"1.24",,"0.99",,"0.122",,"6.5","6","2.57",,,,,"2.77",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.84317","-73.765","Permanent"
"E10",,"2006-07-31T00:00:00.000","10:00 AM","D","21.49","18.75","91","5","91","25.18","26.47","3.68","3.63","3.44","1","45.3","12.5",,,"16.91","18.57",,,,,,,,"1.50E+02","1.46E+02","0.3","E","4","SE","1","3.69","1.26","7","7.12","7.06",,,,,"6",,,,"1",,"0.06",,"0.11",,"0.078",,"0.81",,"1.47",,"0.12",,"13.5","13.25","9.76",,,,,"3.4",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.84317","-73.765","Permanent"
"E10",,"2006-08-21T00:00:00.000","11:30 AM","D","22.82","21.21","91","5","83","26.01","26.66","3.89","3.85","6.68","1.4","90.4","18.4",,,"17.18","18.1",,,,,,,,"1.86E+02","1.73E+02","0.8","W","10","N","1","6.97","1.61","4.5","7.43","7.14",,,,,"2",,,,"1",,"0.029",,"0.025",,"0.085",,"0.86",,"1.61",,"0.145",,"4.75","9.75","23.92",,,,,"2.75",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.84267","-73.76567","Permanent"
"E10",,"2006-08-28T00:00:00.000","10:00 AM","W","22.07","21.99","87","5","82","25.25","25.95","3.73","3.82","3.84","3.75","51","49.9",,,"16.8","17.36",,,,,,,,"2.01E+02","1.90E+02","0","E","11","E","2","5.19","4.83","10","7.17","7.24",,,,,"164",,,,"52",,"0.149",,"0.26",,"0.142",,"0.48",,"2.08",,"0.173",,"0.75","3","1.1",,,,,"2.73",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.843","-73.76517","Permanent"
"E10",,"2006-08-08T00:00:00.000","11:00 AM","D","22.8","19.96","99","4","95","25.71","26.39","3.85","3.72","6.29","0.79","84.9","10.2",,,"16.96","18.22",,,,,,,,"1.93E+02","1.77E+02","2","SW","21","VAR","1","6.32","1","7","7.42","7.11",,,,,"1",,,,"1",,"0.014",,"0.021",,"0.077",,"0.45",,"1.12",,"0.131",,"3.75","14.5","16.8",,,,,"3.17",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.84333","-73.765","Permanent"
"E10",,"2006-09-11T00:00:00.000","10:22 AM","D","21.02","20.97","94","4","87","25.29","25.57","3.66","3.69","6.33","6.01","82.5","78.4",,,"17.12","17.34",,,,,,,,"1.71E+02","1.57E+02","0.8","SW","14","E","3","6.38","6.01","5.5","7.49","7.51",,,,,"2",,,,"1",,"0.197",,"0.218",,"0.093",,"1.19",,"2.09",,"0.141",,"6.75","3.5","9.16",,,,,"7.22",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.84317","-73.765","Permanent"
