sampling_location,sample_date,sample_time,top_sample_temperature_c,bottom_sample_temperature_c,site_actual_depth_ft,top_salinity_psu,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_ammonium_mg_l,top_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,total_phosphorus_mg_l,top_total_suspended_solid_mg_l,bottom_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,long,lat,type
BB2,2006-08-09T00:00:00.000,1:53 PM,26.47,26.36,11,24.46,25.97,1.76,0.187,1.248,0.27,5,1.3,0.437,10.5,10,37.28,40.66017,-73.82217,Permanent
BB2,2006-09-12T00:00:00.000,1:10 PM,21.88,21.43,16,25.67,26.27,5.37,0.447,1.24,0.19,1.76,2.16,0.28,9.25,10.25,14.6,40.66033,-73.82183,Permanent
BB4,2006-08-09T00:00:00.000,2:02 PM,27.37,25.76,17,24.38,26.32,6.68,0.204,0.738,0.201,4.24,0.87,0.362,9,6,48.51,40.65183,-73.82317,Permanent
BB4,2006-09-12T00:00:00.000,1:17 PM,21.51,20.96,23,25.86,26.7,6.47,0.453,1.2,0.18,3.54,2.11,0.26,5.25,6.75,16.28,40.65133,-73.823,Permanent
E10,2006-10-23T00:00:00.000,10:46 AM,16.01,16.14,98,25.9,26.19,6.82,0.204,0.234,,1.24,0.99,0.122,6.5,6,2.57,40.84317,-73.765,Permanent
E10,2006-07-31T00:00:00.000,10:00 AM,21.49,18.75,91,25.18,26.47,3.44,0.06,0.11,0.078,0.81,1.47,0.12,13.5,13.25,9.76,40.84317,-73.765,Permanent
E10,2006-08-21T00:00:00.000,11:30 AM,22.82,21.21,91,26.01,26.66,6.68,0.029,0.025,0.085,0.86,1.61,0.145,4.75,9.75,23.92,40.84267,-73.76567,Permanent
E10,2006-08-28T00:00:00.000,10:00 AM,22.07,21.99,87,25.25,25.95,3.84,0.149,0.26,0.142,0.48,2.08,0.173,0.75,3,1.1,40.843,-73.76517,Permanent
E10,2006-08-08T00:00:00.000,11:00 AM,22.8,19.96,99,25.71,26.39,6.29,0.014,0.021,0.077,0.45,1.12,0.131,3.75,14.5,16.8,40.84333,-73.765,Permanent
E10,2006-09-11T00:00:00.000,10:22 AM,21.02,20.97,94,25.29,25.57,6.33,0.197,0.218,0.093,1.19,2.09,0.141,6.75,3.5,9.16,40.84317,-73.765,Permanent
E10,2006-09-18T00:00:00.000,11:00 AM,21.07,20.53,97,25.39,25.78,6.43,0.184,0.201,0.086,0.77,1.88,0.122,0.75,3.25,4.85,40.84317,-73.766,Permanent
E10,2006-09-25T00:00:00.000,9:58 AM,20.38,20.39,93,25.07,26.46,5.37,0.307,0.274,0.112,1.51,1.7,0.22,3.75,7.75,1.24384,40.843,-73.76533,Permanent
E10,2006-09-05T00:00:00.000,10:49 AM,20.75,20.68,98,25.48,25.99,6.41,0.088,0.208,0.085,2.22,2.26,0.118,6,0.75,8.89,40.8435,-73.76483,Permanent
E13,2006-10-10T00:00:00.000,10:42 AM,18.94,18.84,11,24.11,24.21,5.51,0.526,0.49,0.158,1.16,1.14,0.194,7.5,4.7,1.96,40.80583,-73.84133,Permanent
E14,2006-10-10T00:00:00.000,12:15 PM,19.07,,,23.85,,5.59,0.539,0.534,0.161,1.03,1.15,0.219,5.5,4.3,2,40.80533,-73.86717,Permanent
E14,2006-10-23T00:00:00.000,1:00 PM,15.54,15.91,16,22.44,22.83,6.42,0.444,0.597,,1.74,1.66,0.184,8,6.5,1.57,40.81033,-73.869,Permanent
E14,2006-07-31T00:00:00.000,11:50 AM,21.8,,9,24.63,,2.85,0.144,0.213,0.097,1.23,1.7,0.198,12.75,,30.24,40.81117,-73.86933,Permanent
E14,2006-08-21T00:00:00.000,1:21 PM,23.5,22.44,12,24.6,25.12,5.21,0.204,0.36,0.147,1.11,1.8,0.204,9.75,13.75,13.25,40.81117,-73.86917,Permanent
E14,2006-08-28T00:00:00.000,11:51 AM,22.37,22.28,11,23.55,24.95,3.4,0.264,0.456,0.168,0.77,2.08,0.214,1.5,1.5,3.36,40.81083,-73.86917,Permanent
E14,2006-08-08T00:00:00.000,12:45 PM,23.78,22.63,15,23.12,24.22,7.28,0.183,0.244,0.105,0.82,1.42,0.188,6.25,21,25.25,40.81067,-73.86917,Permanent
E14,2006-09-11T00:00:00.000,12:18 PM,21.72,21.63,14,24.21,24.34,6.14,0.361,0.402,0.124,2.13,2.26,0.202,7,4.75,6.76,40.81117,-73.8695,Permanent
E14,2006-09-18T00:00:00.000,12:39 PM,21.34,21.09,12,23.65,24.43,4.39,0.407,0.581,0.14,0.65,2.23,0.19,14.5,14.5,0.84,40.81117,-73.86933,Permanent
E14,2006-09-25T00:00:00.000,11:42 AM,20.5,20.53,14,23.73,24.51,4.89,0.402,0.432,0.127,1.12,2.08,0.154,24.5,16,2.64992,40.81083,-73.869,Permanent
E14,2006-09-05T00:00:00.000,12:24 PM,21.05,20.93,14,23.68,24.63,4.71,0.333,0.529,0.155,1.7,2.55,0.202,4.75,2.25,2.42,40.811,-73.86933,Permanent
E15,2006-10-10T00:00:00.000,11:25 AM,18.77,18.74,15,23.98,23.99,5.22,0.488,0.572,0.17,1.32,1.34,0.222,5.5,7.6,6.78,40.76283,-73.84917,Permanent
E15,2006-10-23T00:00:00.000,12:08 PM,15.45,15.65,18,23.19,23.27,6.12,0.48,0.72,,1.76,1.4,0.226,12.25,11.75,1.06,40.76317,-73.84933,Permanent
E15,2006-07-31T00:00:00.000,11:10 AM,24.53,22.69,12,22.71,23.61,7.15,0.22,0.31,0.12,1.32,1.79,0.224,13.5,29,31.84,40.76383,-73.84933,Permanent
E15,2006-08-21T00:00:00.000,12:35 PM,24.02,23.9,16,24.19,24.23,9.42,0.197,0.05,0.084,1.25,0.62,0.233,19,14.5,71.48,40.76283,-73.8495,Permanent
E15,2006-08-28T00:00:00.000,11:11 AM,22.39,22.45,12,23.29,24.19,2.2,0.269,0.642,0.195,1.19,2.18,0.269,1,3.75,2.99,40.76283,-73.8495,Permanent
E15,2006-08-08T00:00:00.000,12:08 PM,23.58,23.3,18,24.06,24.12,5.59,0.177,0.328,0.112,0.82,1.33,0.204,25.25,3,28.56,40.7625,-73.84933,Permanent
E15,2006-09-11T00:00:00.000,11:30 AM,21.19,21.2,15,23.81,23.81,7.33,0.372,0.332,0.116,1.56,1.79,0.23,4.5,6,33.04,40.76267,-73.84967,Permanent
E15,2006-09-18T00:00:00.000,12:04 PM,22.08,21.37,17,22.95,23.5,7.26,0.434,0.664,0.16,0.91,2.22,0.222,4.5,6.25,1.73,40.76317,-73.84917,Permanent
E15,2006-09-25T00:00:00.000,11:06 AM,20.26,20.24,16,23.55,23.56,5.61,0.534,0.62,0.173,1.65,1.99,0.228,2,2.75,2.19648,40.76317,-73.84917,Permanent
E15,2006-09-05T00:00:00.000,11:50 AM,21.15,21.07,17,23.21,23.76,6.25,0.348,0.565,0.16,2.18,2.38,0.241,1.5,1,21.25,40.763,-73.8495,Permanent
E2,2006-10-23T00:00:00.000,2:02 PM,16.57,16.6,50,20.34,20.63,5.8,0.595,0.516,,0.98,1.29,0.183,5.75,6.25,1.17,40.73567,-73.97083,Permanent
E2,2006-07-31T00:00:00.000,12:50 PM,23.43,23,55,20.97,22.65,5.16,0.289,0.298,0.096,0.87,1.41,0.129,5.25,9.75,3.16,40.73633,-73.97067,Permanent
E2,2006-08-21T00:00:00.000,2:05 PM,23.79,23.74,48,24.23,24.29,3.2,0.316,0.469,0.175,1.52,1.73,0.217,19.5,14.25,3.2,40.7355,-73.97083,Permanent
E2,2006-08-28T00:00:00.000,12:48 PM,22.81,22.67,49,23.63,23.76,4.27,0.331,0.389,0.129,0.77,1.17,0.166,2,2.75,1.1,40.73567,-73.97083,Permanent
E2,2006-08-08T00:00:00.000,1:44 PM,23.19,23.19,47,23.3,23.38,4.05,0.267,0.418,0.13,0.88,1.39,0.185,4,1.75,5.84,40.73567,-73.971,Permanent
E2,2006-09-11T00:00:00.000,1:11 PM,21.65,21.55,48,23.31,23.53,4.62,0.456,0.421,0.124,1.24,1.76,0.168,3,6.5,1.72,40.73533,-73.97083,Permanent
E2,2006-09-18T00:00:00.000,4:14 PM,21.67,21.62,47,22.14,22.3,4.35,0.628,0.553,0.159,0.78,1.96,0.198,6,9.5,1,40.73667,-73.97067,Permanent
E2,2006-09-25T00:00:00.000,12:32 PM,20.67,20.48,52,22.54,22.9,5.52,0.504,0.348,0.118,1.33,1.4,0.157,11.5,5.25,2.3,40.7355,-73.97067,Permanent
E2,2006-09-05T00:00:00.000,3:31 PM,21.5,21.42,41,22.91,23.29,5,0.472,0.594,0.19,1.92,2.3,0.22,2,7.25,2.04,40.7355,-73.97117,Permanent
E4,2006-10-23T00:00:00.000,1:40 PM,16.55,16.55,65,21.96,21.95,5.49,0.576,0.699,,1.61,1.28,0.218,7,4.5,0.96,40.78233,-73.92167,Permanent
E4,2006-07-31T00:00:00.000,12:20 PM,23.72,23.71,77,18.7,22.11,8.65,0.388,0.456,0.134,1.67,1.78,0.18,7.5,17.75,1.97,40.783,-73.9215,Permanent
E4,2006-08-21T00:00:00.000,1:46 PM,23.69,23.18,71,24.84,24.95,3.75,0.23,0.381,0.153,1.51,1.79,0.204,17.75,14,5.45,40.78267,-73.92167,Permanent
E4,2006-08-28T00:00:00.000,12:17 PM,22.87,22.88,64,23.39,23.38,3.83,0.396,0.436,0.147,0.84,1.38,0.197,4.75,4.75,1,40.78217,-73.92217,Permanent
